Name;StepDuration;PlanName;ResultType;ExecutionId;Timestamp;Throughput (Mbps);Jitter (ms);Packet Loss (%)
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408583774;129.0;0.194;16.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408584776;112.0;0.093;40.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408585778;120.0;0.069;46.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408586780;89.9;0.129;44.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408587782;74.5;0.212;49.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408588787;82.5;0.338;64.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408589789;79.4;0.095;61.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408590791;81.1;0.103;62.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408591794;69.4;0.643;61.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408592797;74.6;0.453;63.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408593801;62.8;0.27;67.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408594803;68.9;0.54;63.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408595812;73.6;0.566;72.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408596815;61.2;0.209;61.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408597823;55.6;0.182;67.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408598826;64.7;0.139;71.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408599829;56.1;0.187;73.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408600835;52.7;0.343;70.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408601841;40.1;0.523;71.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408602844;47.4;0.271;75.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408603848;65.4;0.847;79.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408604754;38.3;0.76;77.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408605756;33.7;0.314;73.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408606863;23.8;0.436;97.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408607765;16.7;0.343;36.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408608767;35.7;0.307;0.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408609772;36.2;0.317;50.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408610780;36.2;0.495;62.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408611782;36.4;1.278;84.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408612783;39.6;0.36;83.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408613786;41.8;0.327;82.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408614790;52.8;0.332;82.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408615792;35.0;0.296;95.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408617396;18.1;1.025;81.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408617797;74.0;0.064;71.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408618800;213.0;0.08;16.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408619804;199.0;0.079;5.5
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408620806;200.0;0.057;1.9
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408621807;198.0;0.046;3.7
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408622810;203.0;0.07;5.2
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408623812;203.0;0.067;2.9
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408624814;195.0;0.044;1.5
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408625815;188.0;0.079;1.4
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408626817;185.0;0.093;12.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408627822;190.0;0.05;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408628825;199.0;0.072;5.7
